Year,ind_ann_w_US,ind_ann_w_FR,ind_ann_w_CN,ind_w_i_rat_US,ind_w_i_rat_FR,ind_w_i_rat_CN
1870,,,,,,
1871,,,,,,
1872,,,,,,
1873,,,,,,
1874,,,,,,
1875,,,,,,
1876,,,,,,
1877,,,,,,
1878,,,,,,
1879,,,,,,
1880,,,,,,
1881,,,,,,
1882,,,,,,
1883,,,,,,
1884,,,,,,
1885,,,,,,
1886,,,,,,
1887,,,,,,
1888,,,,,,
1889,,,,,,
1890,,,,,,
1891,,,,,,
1892,,,,,,
1893,,,,,,
1894,,,,,,
1895,,,,,,
1896,,,,,,
1897,,,,,,
1898,,,,,,
1899,,,,,,
1900,,,,,,
1901,,,,,,
1902,,,,,,
1903,,,,,,
1904,,,,,,
1905,,,,,,
1906,,,,,,
1907,,,,,,
1908,,,,,,
1909,,,,,,
1910,,,,,,
1911,,,,,,
1912,,,,,,
1913,,,,,,
1914,,,,,,
1915,,,,,,
1916,,,,,,
1917,,,,,,
1918,,,,,,
1919,,,,,,
1920,,,,,,
1921,,,,,,
1922,,,,,,
1923,,,,,,
1924,,,,,,
1925,,,,,,
1926,,,,,,
1927,,,,,,
1928,,,,,,
1929,,,,,,
1930,,,,,,
1931,,,,,,
1932,,,,,,
1933,,,,,,
1934,,,,,,
1935,,,,,,
1936,,,,,,
1937,,,,,,
1938,,,,,,
1939,,,,,,
1940,,,,,,
1941,,,,,,
1942,,,,,,
1943,,,,,,
1944,,,,,,
1945,,,,,,
1946,,,,,,
1947,,,,,,
1948,,,,,,
1949,,,,,,
1950,,,,,,
1951,,,,,,
1952,,,,,,
1953,,,,,,
1954,,,,,,
1955,,,,,,
1956,,,,,,
1957,,,,,,
1958,,,,,,
1959,,,,,,
1960,,,,,,
1961,,,,,,
1962,,,,,,
1963,,,,,,
1964,,,,,,
1965,,,,,,
1966,,,,,,
1967,,,,,,
1968,,,,,,
1969,,,,,,
1970,,,,,,
1971,,,,,,
1972,,,,,,
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,,,,,,
1977,,,,,,
1978,,,,,,
1979,,,,,,
1980,,,,,,
1981,,,,,,
1982,,,,,,
1983,,,,,,
1984,,,,,,
1985,,,,,,
1986,,,,,,
1987,,,,,,
1988,,,,,,
1989,,,,,,
1990,,,,,,
1991,,,,,,
1992,,,,,,
1993,,,,,,
1994,,,,,,
1995,,,,,,
1996,,,,,,
1997,,,,,,
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,,,,,,
2003,,,,,,
2004,,,,,,
2005,,,,,,
2006,,,,,,
2007,,,,,,
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,,,,,,
2012,,,,,,
2013,,,,,,
2014,,,,,,
2015,,,,,,
2016,,,,,,
2017,,,,,,
2018,,,,,,
1870,,23760.6282,,4.1276617,6.8941092,
1871,,24324.875,,4.1655927,7.9608512,
1872,,23931.3048,,4.246439,6.8954668,
1873,,23881.6456,,4.2347035,7.1555085,
1874,,24016.5957,,4.4814105,7.0035582,
1875,,23847.3406,,4.4681907,6.2686644,
1876,,24223.2831,,4.6370625,6.6740103,
1877,,24424.1906,,4.7037234,6.8547239,
1878,,24622.4455,,4.7416911,7.3802042,
1879,,24616.1918,,4.4683967,7.3254633,
1880,,24733.2299,,4.2205634,7.188849,
1881,,25142.8149,,4.275743,6.8192968,
1882,,25596.0897,,4.2697964,6.5407472,
1883,,26185.448,,4.3391838,7.0607996,
1884,,26622.9914,,4.4365277,7.3976736,
1885,,27007.9377,,4.5902152,7.4561782,
1886,,27493.2421,,4.6420984,7.6457639,
1887,,27898.2802,,4.7001185,7.606596,
1888,,28266.3579,,4.9143009,7.1211367,
1889,,28841.5029,,4.7950411,7.2480216,
1890,,29473.9834,,4.914156,7.1962042,
1891,,30131.6712,,4.9436822,7.2246141,
1892,,30570.5394,,4.8595505,7.089262,
1893,,31060.2978,,5.0270667,7.1510596,
1894,,31766.6024,,5.3744087,7.4613428,
1895,,32176.5693,,4.9907289,7.4937139,
1896,,32737.212,,5.2808967,6.7995729,
1897,,34066.9913,,5.1138468,7.1843543,
1898,,33042.1754,,5.1813393,6.6714568,
1899,,33840.0227,,4.831121,6.5954709,
1900,,35132.562,,4.9308934,6.7052336,
1901,,34686.68,,4.5791645,7.1007886,
1902,,34709.99,,4.6448555,7.2437925,
1903,,36506.882,,4.7047639,7.2376451,
1904,,37693.1849,,4.7203202,7.2726836,
1905,,37158.5985,,4.5089335,7.1469846,
1906,,37738.5767,,4.5018115,7.4330001,
1907,,38081.1619,,4.7929578,6.8266363,
1908,,37989.0486,,5.2370849,7.0460119,
1909,,39163.8827,,4.9175563,6.9687133,
1910,,40368.9505,,4.8064027,7.4682646,
1911,,38163.895,,5.1918974,6.9633183,
1912,,38378.3552,,5.1654744,6.385252,
1913,45081.6963,38141.1508,,5.020978,6.7119064,
1914,45745.1898,35436.5777,,5.6390119,6.7576966,
1915,49087.4908,34400.1964,,5.9330769,6.9452968,
1916,50207.2922,31208.1354,,5.3220716,5.5634136,
1917,42469.4958,27966.7972,,4.5738006,5.0362358,
1918,37408.0931,24959.5342,,3.8079064,5.1273255,
1919,36275.5276,21881.9536,,3.8970237,4.2263603,
1920,32166.0281,21423.278,,3.5323558,4.0080972,
1921,35715.3808,20977.2065,,4.3493261,3.4125342,
1922,40480.3579,19768.8247,,4.5416527,2.9034708,
1923,40801.3961,16917.0745,,4.0680261,2.4645665,
1924,41770.0371,16952.8028,,4.2184343,2.4756076,
1925,44097.1645,15754.8426,,4.3747244,2.2558808,
1926,45646.526,17202.6095,,4.3264227,2.5876062,
1927,48769.7892,19496.7447,,4.7089605,2.9979453,
1928,55234.93,21765.2946,,5.2761407,3.0950332,
1929,57290.6019,23519.7297,,5.2153883,3.3271172,
1930,52865.8117,24749.0552,,5.3458486,3.6794453,
1931,46182.6284,24155.8094,,5.2202301,3.7455149,
1932,41585.7558,25740.9876,,5.5629334,4.1315846,
1933,43806.5581,25942.3689,,6.0441294,4.1426253,
1934,45037.0817,25501.1315,,5.542273,4.2840157,
1935,47026.9254,24792.5535,,5.2714171,3.890506,
1936,53595.8371,24999.4304,,5.4345474,3.6971948,
1937,51945.9661,27516.8402,,4.9472494,4.2255454,
1938,50283.1891,28484.6088,,5.1537366,4.3026309,
1939,51832.3371,29263.8825,,4.9650984,3.8094354,
1940,51909.9349,18619.955,,4.584116,3.5815918,
1941,49017.6231,19901.8766,,3.6506755,3.8031757,
1942,45461.3943,17714.2612,,2.8632932,3.5257337,
1943,45779.237,17161.2918,,2.4985616,3.8524384,
1944,49911.2907,14212.4995,,2.6389077,3.5751803,
1945,54667.4042,15319.1018,,3.0091825,3.0268006,
1946,55710.5986,17319.1738,,3.5080254,2.5952284,
1947,56423.0357,18502.064,,3.6684885,2.7924428,
1948,57872.0253,20335.1554,,3.5946567,2.7220972,
1949,58826.8382,20944.9855,,3.7729549,2.6134896,
1950,60516.1486,22980.8787,,3.5645182,2.6718535,
1951,62121.6873,25238.8155,,3.4192328,2.7978015,
1952,64231.3339,26940.1788,,3.4469419,2.9138677,
1953,64178.6338,28138.1362,,3.3395367,2.9592879,
1954,65678.1296,29736.8671,,3.4890759,2.9780996,
1955,69464.1806,31731.1611,,3.4454534,3.03355,
1956,72735.2648,34031.2648,,3.5395074,3.1243415,
1957,73534.3102,36096.3494,,3.571615,3.15959,
1958,75021.8895,38817.2216,,3.7481389,3.3338609,
1959,77793.0486,41197.7858,,3.6626768,3.4743693,
1960,79167.7756,43386.8275,,3.6591115,3.4132805,
1961,82326.5054,46406.8851,,3.7559536,3.4993088,
1962,85325.4261,49529.7608,,3.706953,3.5081055,
1963,87245.8305,52154.0714,,3.6665409,3.550935,
1964,90396.7578,55609.2046,,3.6499085,3.5752041,
1965,94849.9128,59307.0397,,3.6411633,3.6685686,
1966,96406.6576,63478.1428,,3.5366151,3.7564092,
1967,99398.2014,67197.0201,,3.5962055,3.8420165,
1968,104642.2589,70984.5064,,3.6785755,3.9470551,
1969,104813.9774,75017.153,,3.6362429,3.9486837,
1970,102048.1382,70399.1236,,3.6281331,3.5419557,
1971,102969.7536,72335.5089,,3.6421173,3.5005972,
1972,108861.4032,75690.8545,,3.7149184,3.5494332,
1973,111546.8129,79171.5759,,3.6540902,3.5403471,
1974,105980.0943,81278.5507,,3.5726814,3.5321531,
1975,102953.2265,82757.0223,,3.5859051,3.6647758,
1976,107003.4257,85089.9137,,3.5957003,3.6392426,
1977,109502.4199,87534.1656,,3.5694103,3.6661625,
1978,111985.8162,92919.2428,,3.5248556,3.7782457,3.7222307
1979,117064.0212,99040.8562,4859.3089,3.6706903,3.9221239,3.6959768
1980,123500.717,101585.9372,4945.3681,3.9881051,4.0168276,3.6166942
1981,124377.7873,101950.9824,5282.0689,3.9859216,4.0458055,3.6863132
1982,123486.176,100185.3656,5841.1565,4.0914702,3.9414835,3.8428802
1983,123506.6043,100045.2042,6450.2365,4.0264807,3.9508598,3.9374061
1984,123982.6978,99955.3644,7288.8572,3.7892711,3.931488,3.7428359
1985,127984.1031,99157.0414,8181.7798,3.8428402,3.8489692,3.5589536
1986,135693.1643,100028.7146,9062.1352,4.0362782,3.7981067,3.7705619
1987,140278.7558,102497.6971,9559.0029,4.0465083,3.8205912,3.7693057
1988,143784.3416,104998.2373,9848.3859,3.979986,3.7723308,3.6850705
1989,148727.365,110495.7108,10028.2526,4.0674949,3.850575,4.0213929
1990,148069.3956,113003.6429,10044.5134,4.0515966,3.8733456,4.3182545
1991,146371.1421,111806.1584,10976.4534,4.0874572,3.8582897,4.3413654
1992,146425.7595,110081.3865,12605.1248,4.0102472,3.7673705,4.539434
1993,146073.229,107789.43,13565.0436,3.9678752,3.7521899,4.8755638
1994,147262.3987,106345.8338,13633.08,3.8740957,3.6499395,4.6705226
1995,152948.2187,106438.6114,13639.0664,3.9363663,3.5962334,4.6461421
1996,162245.8021,107735.6019,14525.8964,4.0477705,3.5884852,4.7944493
1997,175008.7459,110017.4183,16077.1272,4.2126589,3.5794926,5.1906912
1998,194259.6761,114052.5316,17684.634,4.5035019,3.5914922,5.550454
1999,215598.9202,126000.1876,19117.3477,4.852242,3.8291831,5.8293066
2000,224045.3092,137088.007,20522.2099,4.881474,4.0581379,6.1206998
2001,217722.1892,140504.6569,21489.3463,4.7656913,4.1315675,6.034199
2002,207619.0347,143561.3886,23081.5476,4.5552559,4.262856,5.9563532
2003,211080.9265,153338.6656,25029.7248,4.5810866,4.5541916,5.9779138
2004,231050.5224,170039.8498,27632.7501,4.878077,4.9450912,6.0138242
2005,249870.273,189881.8342,31234.9452,5.1562805,5.4736109,6.1669074
2006,264203.7933,209613.8027,34790.1835,5.3188219,5.9472852,6.104401
2007,265173.2733,222265.848,41756.1807,5.4072556,6.2117953,6.4455044
2008,228415.3393,213790.0251,44212.2643,4.763483,6.0449514,6.3527994
2009,194905.9488,204030.8488,47521.1916,4.2591524,6.0585008,6.3191053
2010,194639.0897,209550.3084,55754.4286,4.1583104,6.1073842,6.7921769
2011,193302.609,216861.5501,59090.9313,4.0642662,6.2084436,6.7154447
2012,197110.5765,215599.3298,64023.0742,4.0480409,6.2711663,6.7263384
2013,218393.4016,213590.5392,71793.7908,4.4787908,6.1935186,6.9173763
2014,237269.7416,210355.7484,78452.8705,4.7641459,6.0617199,6.9379847
2015,243299.4455,207028.8245,85081.7849,4.8246841,5.9144902,7.1046375
2016,,,,,,
2017,,,,,,
2018,,,,,,